'	492|493|495|496|499|503|506|507|511|520|521|524|526|530|531
001	517|525
0010-0277	519
001325	525
0016-7606	525
001611	492
00192	527
002	490
0021-8723	517
0022-1511	527
0022-3859	528
0027-4100	527
0029797	527
003	490
0030-0950	523
0033-5894	525
00349-8	528
0034_Bk	517
0043-5597	517
0043-5643	523
00496942	490
00575	502
0061	499
0066620422	486
007	492
00759	533
008	529
008-029-00232-9	490
008170	492
009	523|524
0091-3057	527
0091-7613	525
0094-8373	525
0094-8373-35	525
01	486|489|496|506|507|515|518|524|529|531|533
010	501
010600aaa	523
011	506|528
01101	523
0114	523
012	523
01257	505
013	524
0139	523
014	522
0150	523
017	524
018	505
019	527
0199732531	519
01Append_intro	490
01tsunami	518
02	486|494|495|496|500|503|506|507|512|515|518|522|529|531
02-06-2012	506
020	493|529
02011-01-19January	507
02011-01-20January	507
02011-01-26January	507
02011-01-27January	507
02011-02-02February	507
02011-02-03February	507
02011-02-09February	507
02011-02-10February	507
02011-02-16February	507
02011-02-17February	507
02011-02-23February	507
02011-02-24February	507
02011-03-01March	507
02011-03-02March	507
02011-03-03March	507
02011-03-09March	507
02011-03-10March	507
02011-03-16March	507
02011-03-17March	507
02011-03-23March	507
02011-03-24March	507
02011-03-30March	507
02011-03-31March	507
02011-04-06April	507
02011-04-07April	507
02011-04-13April	507
02011-04-14April	507
02011-04-20April	507
02011-04-21April	507
02011-04-27April	507
02011-04-28April	507
02011-05-04May	507
02011-05-05May	507
02011-05-11May	507
02011-05-12May	507
02011-05-18May	507
02011-05-19May	507
02011-05-24May	507
02011-05-25May	507
020530902X	487
021	529
0217	527
021990	492
0241135567	492
0255	523
026	524
027	524
02724634	523
0277-3791	525
029	525
03	486|496|506|507|513|524|525|530|531|534
03-29766	490
030	499|523
0302-1475	519
030513	524
0306312703335005	490
030631284014004001	533
0310skilos	486
0312	530
0318406140	520|521
032	523
033	524
0335	535
034	499
035	527
036	523
0375426167	519
0381	525
0394705270	517
0399530339	504
04	486|487|491|492|499|506|507|509|523|524|526|527|528|529|530|531
041	518|524
0434929	535
04amazon	486
05	486|492|496|499|501|505|506|507|508|518|526|530|531|535
05012009	506
050185	525
051	522
0521540569	519
0527	518
053106_05	506
055	529
05Append_bathymetry	490
06	486|489|490|492|496|500|506|507|515|524|530|531
06-047	523
060105_05	506
060204_11	506
063	523
064	499
0670920665	486
0676	486
0679736883	517
068	507
0684315130	517
06internet	486
07	486|487|496|506|507|515|518|525|530|531|532|533
07-04	486
07-466	523
070470	522
07108	502
0712	531
076	524
0761425705	524
07adco	506
07arts-WINEHOUSECHA_BRF	531
07arts-WINEHOUSEQUE_BRF	531
08	486|490|495|497|506|507|525|527|531
080	499|505|529
0802	531
0807846325	517
0816046700	492
082405623X	517
083281927	517
086	524
0888643004	519
0892	525
09	486|495|496|499|500|506|507|513|518|528|531|533
090	524
091	524|529
09144	523
093	524
0934	527
0938289705	499
096489EB9F0C1398488AC061D3D95D1F	486
098	524
0999	515
0CCsQ6AEwAA	526
0CDAQ6AEwAA	519
0CDMQ6AEwAQ	519
0CDYQ6AEwAg	519
0CDkQ6AEwAQ	526
0v47ou53yVsC	527
0xUhkogmSS8C	492
1	486|487|488|489|490|491|492|493|494|495|496|497|499|500|501|502|503|504|505|506|507|508|509|510|512|513|514|515|516|517|518|519|520|521|522|523|524|525|526|527|528|529|530|531|532|533|534|535
1's	522|526
1-2	490|491|522
1-3	486
1-4081-3500-0	523
1-4184-1070-5	522
1-4264-0754-8	518
1-4H3	528
1-55152-178-4	490
1-55500-047-9	490
1-55970-684-8	529
1-56164-191-X	523
1-56368-097-1	519
1-56584-870-5	486
1-57607-866-3	502
1-58017-613-5	501
1-58544-380-8	505
1-58734-087-9	493
1-59228-893-6	501
1-84354-991-3	493
1-84403-563-8	533
1-84454-563-6	531
1-85242-377-3	488
1-85437-037-5	533
1-85709-170-1	533
1-896846-00-9	490
1-9	506
1-Click	486|487
1-Disney	496
1-megaton	490
1-month	507
1-vol	499
10	486|487|488|489|490|491|492|493|495|496|499|500|501|502|503|504|505|506|507|508|509|510|513|514|515|517|518|519|520|521|522|523|524|525|526|527|528|529|530|531|533
10-	506
10-459-469	528
10-8	528
10-K	486
10-character	487
10-digit	487
10-mile	529
10-pence	492
100	486|492|493|495|496|499|501|502|506|507|508|509|510|515|517|518|519|520|521|522|523|524|526|527|528|529|530|531|533
100-	522
1000	486|490|493|499|517|525
1000-seat	506
10001	535
1000195	501
1001	531|533
10010203	523
10011888	523
1002	525|527
100353	527
1003696016	531
1003786425	531
1003843472	495
100495	486
1005	527
10057920	531
1006	525
10068270-421	506
1007	496|523|527|528
10073	529
100759	529
1008	505|527
1009	527
1009785	486
1009828109	527
100m	518
100th	499
101	486|493|499|502|506|507|517|524|527|529|531
101-118	499
1011	529
1012	492
101459	529
10153	525
1016	490|505|519|523|525|527|528
1018724	486
1018804	486
1019	505
102	486|493|499|506|507|517|523|527|529|531
1021049125805	527
10216	529
102203	486
1023	527
10237579	528
10264	518
1028	531
103	486|493|499|506|507|508|517|522|523|524|527|529|531
1031-41	505
10335	490
10372700	507
1038	523|524|525|527
104	486|490|493|496|499|506|507|517|523|527|529|531|533
1042641	507
1044	529
104464395	517
1046	523
1049	525
105	486|493|499|506|507|517|518|523|527|529|531|533
1052060104	527
1055053	486
10563	518
1057-9419	527
1059	525
1059K	525
106	486|493|495|499|506|507|517|523|527|529|531|533
106003774	523
106008828	505
10602	489
10611860802528833	528
1062	525
107	486|493|499|506|507|517|519|527|529|531
107-121	499
1073	490|527
10733431	531
1079-amy-winehouse	531
108	486|493|496|499|506|507|517|519|525|527|529|531
1080	519|523|528|533
1080i	496
1080p	496
10812156	493
1086	527|528
10886	506
109	486|493|499|506|507|517|524|527|529|531
1090113	531
1093	527
1095	528
1095-8312	527
1096-3642	527
1098	523|527
10amazon	486
10cc	530
10iht-web	486
10m	531
10p	492
10th	486|492|505|507|523|529
11	486|488|489|490|491|492|493|495|496|499|500|501|502|503|505|506|507|508|509|510|512|513|514|515|517|518|519|520|521|522|523|524|525|526|527|528|529|530|531|533|534
11'	507
11-2	506|507
11-inch	499
11-present	506
11-track	531
110	486|493|499|506|507|517|527|529|531
1103538	527
1104besthardnonfiction	530
1109	504|529
110921120124	499
111	486|492|493|499|506|507|517|523|527|529|531
111-115	499
11104798	495
1111	502|505|523|525|527
112	486|493|499|505|506|507|517|527|529|531
1120	504
1121	528
11232	531
1124	517
1125_questions	493
1126	527
113	486|488|493|499|506|507|517|527|529|531
1130	525
113086	486
113573	508
1139	523|527
114	486|493|499|506|507|517|523|525|527|529|531|533
1146	525
115	486|493|499|503|506|507|517|527|529|531
1152	533
11534814	530
116	486|492|493|499|506|507|517|527|529|531
1161302	486
1163	523|527
117	486|493|499|506|507|517|527|529|531|533
117360	506
1177	490|517|533
118	486|493|499|506|507|517|527|529|531
119	486|493|499|506|507|517|523|527|529|531
119-29	499
11AF	490
11R	528
11ecom	486
11idol	506
11th	492|493|507|517|529
11thplace	507
12	486|488|489|490|491|492|493|494|495|496|499|500|501|503|504|505|506|507|508|510|513|514|515|517|518|519|520|521|522|523|524|525|526|527|528|529|530|531|533
12-3	496
12-inch	522
12-leg	531
12-present	506
120	486|493|499|506|507|517|518|527|529|531
1200	517
1202	513
12040	531
1206	527
1207	499
121	486|493|499|506|507|517|527|529|531
1216597	486
122	486|493|499|506|507|517|523|527|529|531
122633	529
123	486|493|499|506|507|517|523|527|531|533
123-124	522
1234	492
124	486|493|499|506|507|517|527|529|531
12483	531
125	486|493|495|499|506|507|517|519|527|530|531
125170	508
1257	502
126	486|493|499|506|507|517|527|529|531
126-127	522
1260	505
127	486|492|493|499|506|507|517|523|527|531
1270872000	486
1272371	526
1275	529
1278648000	486
128	486|493|499|506|507|517|524|527|531
12814	529
128pp	517
129	486|493|499|506|507|517|527|531|533
129-36	499
1295	527
1295751	490
12PM	522
12th	492|506|507|529
13	486|487|488|489|490|491|492|493|494|495|496|498|499|501|503|505|506|507|508|510|513|514|515|517|518|519|520|521|522|523|524|525|526|527|529|530|531|533
13-11	528
13-digit	487
13-oxo-	528
13-year-old	531
130	486|488|493|499|506|507|517|518|524|527|531|533
1300	529
13022013-ausgeliefert-leiharbeiter-bei-amazon-100	486
1306	529
1306728000	508
1307695052	487
131	486|493|499|506|517|523|527|531
131-33	499
1312173	527
1319	525
132	486|493|499|506|517|524|527|531
1321	523
1322	525
132522	506
1327	529
1327240095	487
133	486|493|499|506|517|523|524|527|531
1331	527
13390	486
134	486|493|499|506|517|527|531
134-145	499
1345	529
134805	524
1349	529
135	486|492|493|499|506|517|524|527|531
1352386	523
1352688	523
1353	499|519
1354592	524
1357	518
1359615549	491
135_08	531
136	486|493|499|503|506|517|527|531
136002	506
13642	505
13646	531
1366963	523
136816940	515
1368495	523
1369623	523
137	486|493|499|506|517|522|527|531
1371	501|519|527
138	486|492|493|499|506|517|524|527|531
13859224	531
13871	529
1387626	518
139	486|493|499|506|517|523|525|527|529|531
13924137	486
1397	523
1397-89-3	528
13980	506
139B	525
13th	499|507|529
14	486|487|488|489|490|491|492|493|495|496|498|499|500|501|503|505|506|507|508|510|515|517|518|519|520|521|522|523|524|525|526|527|528|529|530|531|533
14-12	528
140	486|493|499|506|517|524|527|528|529|531
1400	529
1400075327	517
1403859	496
1408	523
141	486|489|493|499|506|517|523|527|531
14101911	486
1411	490
141231	506
14145112	531
14154202	531
142	486|493|499|506|531
1423	490
1425	529
1425174	510
143	486|493|499|506|507|525|531
1438455	527
1439-0310	505
144	486|492|493|499|506|517|522|527|531
1440850	527
1441757	527
1443413	527
1443418	527
1443832	527
14444cc4581bc95ffe44348ff625240b	531
1445301	527
1446530	527
145	486|493|499|506|517|523|531
145-160	525
1454	524
146	486|489|493|499|506|531
1466953	527
1466954	527
1468-0335	502
1469-7998	527
147	486|489|493|499|505|506|523|531
1474-919X	523
1475-4754	525
1476047	490
148	486|492|493|499|506|517|531
1480444	510
148201-American-Idol-Contestant-Carson-Higgins-Cast-in-The-Columbine-Project	507
1484799	506
1489	529
149	486|493|499|505|506|513|517|531
1492	524
14938	527
14952	527
14956	528
1498063	506
1499	496
14990	527
14th	499|529
14viewers	506
15	486|488|489|490|491|492|493|495|496|498|499|501|503|505|506|507|508|510|513|515|517|518|519|520|521|522|523|524|525|526|527|528|529|530|531|533
15-year-olds	507
150	486|488|492|493|499|506|517|523|527|528|531
1500	498|517|529
1501119	531
1502	524
1507	524
1508	499|529
150844927	533
150th	499
151	486|492|493|499|506|517|519|523|531
1512	524
152	486|493|499|501|506|529|531
1520966	523
1521240	523
1521504	523
1521683	523
1521699	523
1523-1739	523
1524-4695	523
1524-4695-31	523
1525	523
1525-2027	518
1526988	506
153	486|493|499|506|519|523|531
1530	533
1531234	486
153316590	506
153439-American_Idol_Outrage_Your_Vote_Doesn_t_Count	506
1538	524
154	486|493|499|506|519|523|527|531
1541	519
1544	529
15486254	527
155	486|493|499|506|519|531
1550615	506
1551671	526
1557-9263	523
1557862443	517
15591301	533
156	486|493|499|506|507|531
1561599	531
15620822	528
1562719	527
1563372	527
1563681447	519
1563783	527
1564297	527
156446	527
1564465	527
1564496	527
1565037	527
1565132	527
156853897X00297	527
156853987X00125	523
157	486|493|499|506|531
157-9	517
1571752	486
1573560197	524
1578	529
1579	493
15795855	527
158	486|492|493|499|506|527|531
1580	529
15815629	527
1582800	506
1584613	506
1589794	531
159	486|493|499|506|518|531
15S	528
15ff	492
15th	493|499|524|529
16	486|488|489|490|491|492|493|495|496|499|501|503|505|506|507|508|510|514|515|517|518|519|520|521|522|523|524|525|526|527|528|529|530|531|533|535
160	486|493|499|506|509|517|526|531
1600	499|529
1602	529
1603	529
1607	492|505
16092534	519
161	486|493|499|506|527|531
161-238	499
1612222	531
1613	529
1619	517
162	486|493|499|506|527|531
1621	524
16213	529
1623	529
1625	529
162996	486
163	486|492|493|499|501|506|519|524|531
1630	503
1631657	506
1632	517
1633	529
1635	529
1636	529
1637	529
1638	529
1639	529
164	486|493|499|505|506|517|531
1640199954	520|521
16407945	527
1642	523|529
1642945	531
1643	533
1647392	531
1648433	506|507
165	486|489|492|493|499|506|507|522|523|527|531
1650	533
1652278	486
16525472	527
1655	529
1656	529
16563051	506
165633	506
1658	532|534
16580946	506
1659	518|533
16593645	490
166	486|489|493|499|506|508|517|523|524|529|531
1660	533
1660s	533
1664	529
16657314	506
1666	525|529
1668396	531
167	486|489|493|499|506|517|523|527|531
1670	527
1674	493
1675	523|529
1676	523
168	486|489|493|499|506|507|531
1680	529
1685	529
1686204_1686244_1690616	531
1688	517
1689	517
169	486|493|499|506|531
1690	533
1690s	519
1692	533
1697	533
1699	517
16Idol	506
16R	528
16c	524
16th	493|499|503|515|517|529|530
16th-	493
17	486|488|489|490|491|492|493|495|496|498|499|501|503|504|505|506|507|508|509|510|511|512|515|516|517|518|519|520|521|522|523|524|525|526|527|528|529|530|531|533
17-15	528
17-date	531
17-year-old	518
170	486|493|499|501|506|518|523|531
1700	529
1702	493|532|534
17029666	490
1704	517
1706	533|534
1708	523
171	486|493|499|503|506|507|527|531
1713	523
172	486|493|499|506|517|519|531
1721	493|532|534
1722	518
1725	529
1726	534
1727	534
1729	518|533
173	486|493|499|506|524|531
1732	517
1733	517
1737	534
174	486|493|499|506|517|525|531
1741	490
1744	533
174638949	505
174M	525
175	486|492|493|499|506|507|524|527|531
1750	517
1750-1800	517
1755	492|493|519|532|534
1758	505|523
1759	517
176	486|493|499|506|523|524|529|531
1760	517|533
176060	486
1760s	499|533
1761	517|533
1762	517|533
1763	517|533|534
1764	517|533
1765	517|533
1766	517|533
1767	517
1768	517|518|533
1769	514|517|533
177	493|499|506|531
1770	517|535
1770s	517|533
1772	517
1773	517
1774	517
1775	517
1776	493|499|517|524
1777	517
1778	517
1779	517
178	490|492|493|499|506|531|533
1780	499|517|529
1780s	517|533
1781	517
1782	517
17822498	506
1783	490|517|524|527
1784	490|499|517
1786	517|527
1787	517
1787135	506
1788	517
1789	499|517
1789-1859	499
1789-1989	499
179	490|493|499|506|527|531
1790	490|517|533
1790423	535
1790s	517
1791	517|524
1792	499|514
179236	505
1794	534
1795	499|517
1795-1798	490
1796	517|529
17976	490
1798	517
1798610	515
17992	490
17R	528
17th	493|503|517|524|529|533
17th-	493
17th-century	493|529|533
18	486|488|489|490|491|492|493|495|496|498|499|500|501|502|503|505|506|507|508|510|511|515|517|518|519|520|521|522|523|524|525|526|527|528|529|530|531|533
18-16	528
18-20	499|529
18-49	496|506
18-trimethyl-	528
180	486|493|499|506|511|512|513|517|529|531
1800	492|499|517
1801750	529
1802	517|534
1803	499
1804	517
1808	529
1809	514
181	493|499|506|527|531
1810	514|517|529
1811	518|523
1812	499|503|504|517|529
1813	533
1814	493|529
1815	517|529
1816	499
1817	519
1818	514|517
1819	492|499
182	493|499|506|524|529|531
1820	490|499
1825	519|527
1828	492|493|503|532|534
183	493|499|506|517|525|531|533
1830	518
1830-1860	499
1830s	499|518
1831	514
18315390	523
1832	490|514|523
1833	517
1834	499
1835	514|523
1838	514|532
1839	518
184	493|499|506|517|531
1840	499
1840s	499
1842	517|518
1844	493|514
1845	499|514
1846	499|517
18469978	496
1847	499
1848	499|503|504
1848-1877	499
184835	492
184844	493
1849	499|517
18497824	527
185	493|499|503|506|527|531
1850	499|514|529
1850s	499
1851	523
1852	499|514|519
1853	529
1854	499|517|533
1855	490
1855-1864	499
1855007	506
1856	499
1857	499|514
1858	499|504|514|532
1859	499|517|535
186	492|493|499|506|517|531
1860	499|514
1860-1864	499
1860-1880	499
1860-64	499
1860s	499
1861	499
1861-1865	499
1861-65	499|504
1862	499
1862-1865	499
1863	499|533
1864	499
1865	492|499|517|533
1866	499
1867	490|514
1868	499|504|514
187	490|493|496|499|506|529|531
1870	499|514|529
1870s	504
1871	499|514
1872	499
1873	514
1874	499|514
1874453201205010073	505
1876	499|508|514
1877	492|499|514|517
1878	514
1879	508|514|529
188	493|499|506|519|531
1880	493|518
18802473	501
1880s	499
1881	514
18823122	506
1884	514
1885	514|529
188580	488
1886	514
1887	518
1888	492|514|529
1889	504|518|529|532|534
189	493|499|502|506|522|527|531
1890	499|503|504|517
1891	514|529
1892	514|518
1893	514|519
1894	499|514|529
1894084	517
1895	499|514
1896	499|503|504|514|517|518|529
1897	492|514|523|527
1898	499|514|517|532
1899	497|514|518
18S	528
18c	524
18th	492|493|495|503|517|518|529|533|534
18th-century	493|517|533
18th_century	517
19	486|488|489|490|491|492|493|495|496|498|499|501|503|505|506|507|508|515|517|518|519|520|521|522|523|524|525|526|527|528|529|530|531|533
19-26	528
190	493|499|506|518|524|527|531
1900	492|499|501|514|518|529
1901	514
1902	490|497|505|514|517
1903	514|517
1904	514|518|529
1905	493|501|503|514
1906	514|517|529|535
1907	493|499|514
1908	492|493|504|514|529
19089691	528
1909	499|514|535
191	493|499|506|527|531
1910	514
1911	501|502|508|514|518|529|531
1911-census-reveals-David-Beckhams-rag-bone-man-ancestor-----lived-house-WW1	531
1911encyclopedia	529
1912	493|508|514|529|533
1913	490|493|499|514
1914	494|514|517|520|521|535
1914-02-13	520|521
1915	499|514|535
1916	493|514|529|532
1917	514|517
1918	499|514|517
1919	493|508|514|518|520|521
192	493|499|506|519|527|531
1920	490|501|514|529
1920s	493|496|499|504|520|521
1921	492|493|503|514|517|532
1921327	517
1921451	517
1922	514|517
1923	496|514|517
1924	499|514|529
1925	514|518
1926	496|499|501|514|517|523
1927	504|514|517|524
1928	493|499|502|504|514|518|529
1929	514|517|518|533
193	493|499|506|531
1930	514|518|529
1930s	504|508|520|521|523|529
1931	499|501|508|514|520|521
1931088	527
1932	504|514|517|529
1933	493|514
1934	514
1935	496|501|504|514
1936	503|508|509|514|529
1936211	527
1937	514|520|521
1937-5239	517
1938	496|497|499|505|514|518
1939	499|508|514|520|521
194	493|499|506|507|508|531
1940	496|499|508|514|520|521|529
1940s	496|520|521|523|529
1941	514|520|521
1941-1942	490
1942	490|496|514|527
1943	490|496|514|517
1943-10-12	496
1944	496|501|514|529
1945	490|499|502|503|504|514|517
1946	496|499|501|503|504|514|517
19462	506
1947	492|496|499|503|514|524|529|533
1948	492|496|499|501|508|514|517|527|529
1948-04-19	496
1949	490|496|504|514|518
195	489|493|499|506|519|531
1950	490|496|499|501|514|517|535
1950s	490|496|499|501|504|506|507|519|520|521|522|523|529|531
1951	490|496|499|505|508|514|518
19519	506
1952	496|499|514|529
1953	496|499|508|514|517
1953-1961	496
1954	492|496|499|503|504|514|517
19545212	528
1955	496|499|502|503|504|514|517|519|522|528
1955-1971	522
1955-1972	522
1955-1973	522
1955-1974	522
1955-1977	522
1956	496|499|504|514|515|518|529|531
1956-08-08	518
1957	493|499|501|514|523|529
1957221	506
1958	496|502|514|515|529|530
1959	490|496|499|514|515|517|529|531
196	493|499|527|531
1960	496|499|514|517|529|530|531
1960-11-25	530
1960-1978	522
1960s	490|492|493|496|504|506|507|516|519|520|521|522|523|529|531
1961	490|493|496|502|508|514|515|517|529|531
1962	492|496|499|514|517|529|531
1963	496|499|502|504|508|514|529|531
1964	490|499|514|517|522|527|529|531
1964-1970	522
1965	490|496|499|502|514|519|527|529|531
19650044	529
1966	490|496|499|514|517|518|529|531
1967	488|492|496|499|508|514|517|518|520|521|522|529|530|531
1968	496|499|502|503|504|505|514|517|522|523|527|529|531|533
19680907	496
19684879	525
19689243	528
1969	490|496|499|508|514|529|531
197	493|499|501|518|529|531
1970	490|499|502|508|514|515|518|522|529|531
1970-1972	522
1970-1988	522
1970s	488|490|493|496|506|507|508|515|516|520|521|522|523|529|531
1971	488|490|492|499|502|508|510|514|515|522|523|527|529|531
1971-07-17	490
1971-11-08	490
1971-11-15	490
1972	490|499|502|508|510|514|515|517|519|522|529|531|532
1973	488|490|492|494|496|499|502|510|514|517|522|527|529|531
1974	488|492|493|496|499|502|510|511|512|513|514|517|519|522|529|530|531|533
1974-1979	522
1975	492|493|496|508|510|511|512|513|514|517|518|522|523|529|531
1976	488|490|496|499|505|508|510|511|512|513|514|515|517|518|522|523|529|530|531|533|535
1977	496|499|502|503|505|508|510|511|512|513|514|522|523|527|529|530|531|533
1977-1979	522
1978	488|493|496|499|510|511|512|513|514|517|519|522|527|529|530|531|533
1978-1979	522
