'	832|833|835|839|847|850|856|861|862|871|872|875|877
012309_inaugural_address	833
013	854
0143	878
01439680802310324	874
0149-6956	832
015	862
01559	829
017-page	832
0176531	850
0190-745X	837
0194-7869	861
0195102320	860
0198206976	851
01_january	870|876|878
01_objectives_of_the_game	850
02	833|835|839|843|850|851|858|861|863|869|871|872|877|878
020	840
020904-Grant-FC2	861
0228	872
023	872
0233	842
0265-4040	872
027087	850
02_definition_of_terms	850
02a	850
02coastin	847
03	832|833|839|840|842|847|850|855|861|862|869|870|871|872|876|877
03-29-97	847
03-97	847
031	842
0320	832
03373	851
036	875
0362-4595	832
038	851
03_game_preliminaries	850
03a	850
04	833|835|844|850|851|854|862|865|869|874|876|877|878
042255pr	874
043	851
044	851
04583	840
049	851|875
0493	842
04_SB8K8xLLM9MSSzPy8xBz9CP0os_hgz2DDIFNLYwMLfzcDAyNjQy9vLwNTV38LM_1wkA6zeH_nIEcnJ0NHAwNfUxegCh8XA2-nUCMDdzOIvAEO4Gig7-eRn5uqX5CdneboqKgIAAeNRE8	840
04_starting_ending_game	850
04a	850
05	830|832|833|834|835|847|850|851|854|861|862|866|869|870|874|875|877|878
050613crci_cinema	862
050914-bbc-micro-b-lives-on-strong-growth-for-arm-after-increased-tablet-and-smartphone-use	872
052	851
054	854
056	851
0572-7820	832
05Year_End	861
05_may	876
05_putting_ball_in_play	850
05a	850
05elect	833
05nomSActr	862
06	831|832|833|834|835|839|840|846|847|850|861|862|869|871|877|878
060	840|851
062	839
06_the_batter	850
06rob	840
07	832|833|835|839|840|842|844|847|850|851|862|869|870|872|874|876|877
07-06	847
07-27-06	847
070426_adverttv	874
071	840
07234	838
0728-2893	830
07347456	835
0738-9663	832
0742-0277	832
07463502	835
075	840
07July_Statistics	870
07_the_runner	850
08	833|835|839|840|841|850|851|852|861|862|869|870|874|878
08-06-2006	847
08001	840
0806522186	839
08080	840
0815-4465	830
083	840
086	870
08b	850
08d	850
09	832|833|835|839|840|844|846|847|850|851|855|861|862|869|870|874|875|876|878
090	829|840|851
090202taco_talk_remnick	833
093	851
0962-8452	842
09700160008455233	874
0975944	866
09_september	875
09_the_umpire	850
09e	850
0CC0Q6AEwAA	839
0CCoQ6AEwAA	846
0CGIQ6AEwCQ	839
0EAF3F3B8374B5AA	847
0EAF86CE9819E992	847
0EB04E767104663D	847
0EB2A5C08884B35A	847
0V	872
0x8000	872
0xFC00	872
0xFCFF	872
0xFD00	872
0xFDFF	872
0xFE00	872
0xFEFF	872
1	829|830|831|832|833|834|835|836|837|838|839|840|841|842|843|844|845|846|847|848|849|850|851|852|853|854|855|856|857|858|859|860|861|862|863|864|865|866|867|868|869|870|871|872|874|875|876|877|878
1'	872
1's	835|877
1-246	834
1-3	851|866
1-3am	877
1-4012-0080-X	835
1-4012-0192-X	835
1-4012-0431-7	835
1-4012-0434-1	835
1-4012-0940-8	835
1-4012-1191-7	835
1-4012-1282-4	862
1-4012-1367-7	835
1-4012-1491-6	835
1-4022-0579-1	850
1-4027-6051-5	850
1-4042-0991-3	850
1-4223-7467-X	851
1-4402-2988-0	835
1-4446-8481-7	830
1-55002-866-9	839
1-55728-242-0	866
1-55972-203-7	839
1-56389-099-2	861
1-56389-424-6	835
1-56389-484-X	835
1-56389-750-4	835
1-56389-939-6	835
1-57488-923-0	866
1-57510-092-4	866
1-57958-293-1	840
1-58648-330-7	850
1-59114-836-7	866
1-59454-360-7	832
1-59474-023-2	861
1-59797-129-4	850
1-6	835
1-7	835
1-84353-105-4	844
1-84411-004-4	861
1-85286-077-4	861
1-85437-149-5	836
1-85437-225-4	836
1-85538-118-4	842
1-85793-441-5	870
1-86872-721-1	842
1-873132-15-8	834
1-873132-22-0	834
1-873403-32-1	842
1-873403-98-4	842
1-875560-29-7	831
1-889963-64-X	866
1-890626-57-0	855
1-893905-30-6	835
1-894963-40-7	850
1-920843-20-5	830
1-932273-44-1	862
1-inch	871
10	829|830|831|832|833|834|835|836|837|838|839|840|842|843|844|845|846|847|848|849|850|851|852|853|854|855|857|859|861|862|863|865|866|867|868|869|870|871|872|874|875|876|877|878
10-12	863
10-12am	877
10-night	847
10-part	847
10-year	832
100	829|830|832|833|834|835|837|838|839|840|841|846|847|849|850|851|852|853|854|855|859|861|862|870|872|874|875|877
1000	851|853|861|870|871|876
1000-word	853
1001205	870
1004393	833
1006	842
10067-7	829
1007	829|831|842
100k	835
100m	834|878
100th	851
101	832|833|835|839|840|850|859|861|862|870|874|875
101-21	837
1016	829|842
1019	851
101st	834
102	832|833|835|840|842|850|855|857|861|862|870|874
1023	862
102m	833
103	830|832|833|835|840|850|861|865|870|874|878
1033	832
104	829|830|832|833|834|835|840|847|850|851|855|861|870|874|877|878
104-32	832
105	832|833|835|838|840|850|861|865|870|874|875|877|878
1053	877
1054	851
1055	855
1056	833
105m	851
106	832|833|835|840|849|850|855|861|870|875|878
10600140	842
106007116	842
106070953757230	861
1064	833|842
1066	840
107	832|833|835|840|850|851|861|870
1070818	869
1071	829|830|831
1072-2174641	874
10726	833
10747109	835
10773H	875
107xx	832
108	829|832|833|835|837|840|850|861|869|870|875
1080	842|874
1080i	875
1081-1710	842
10824413	866
10847V	875
1086	851|861|871
1086-Domesday-Book-Outlives-1986-Electronic-Rival	871
1089	842|877
109	830|832|833|835|840|850|851|853|861|870
1090	851
10902	834
1093	842
1096-3642	830
1098	842
109th	832
10LAMSTER	850
10_october	870|874|875
10_the_official_scorer	850
10a	850
10inaug	833
10nfl	850
10pm	877
10s	840
10th	834|865
10top10	850
11	829|830|831|832|833|834|835|836|838|839|840|842|843|844|846|847|848|850|851|853|854|855|856|857|859|861|862|865|866|868|869|870|871|872|873|874|875|876|877|878
11-	859
11-30-premiums	832
11-524_SIR_WebLUs_5_4	877
11-524_XM_WebLUs_5_4	877
11-storey	874
11-string	859
110	832|833|834|835|840|850|855|859|861|870|875
1107	833
110th	832
111	829|832|833|835|840|850|861|870
111099	839
1111	829|830
1116	851
111605849050665	835
1118	851
111th	833
112	830|832|833|835|840|850|861|870|872
112-118	837
1120934352863	862
1122	855
1126	855
1129	855
113	832|833|835|840|850|851|855|859|861|862|870
1137	840
1138	851
114	832|833|835|850|861|870
1144	844
115	832|833|835|850|854|855|861|870
11533124	842
1154441	850
116	832|833|835|850|851|861|870
11606239	846
1162	840
116365	851
117	832|833|835|840|850|855|861|870
11762627-1	850
1177	840|872
118	832|833|835|837|839|850|854|861|870
118549405	836
119	832|833|835|839|850|861|870
119154765	839
1197895	832
11_november	870
11minister	833
11pm-1am	877
11th	846|866|871
12	829|830|831|832|833|834|835|836|838|839|840|841|842|844|846|847|849|850|851|853|854|855|857|859|861|862|865|866|868|869|870|871|872|874|875|876|877|878
12-2am	877
12-hour	846
12-issue	835|861
12-month	870
12-part	835
12-string	859
12-to-18-year-old	834
12-year	862|877
120	832|833|834|835|840|850|851|854|861|862|870|874
1200	853|855|866|872
1201	842
1204729	874
1205	842
120791	874
1208	833
121	832|833|835|850|851|861|862
12124369	842
1213	833|840
1214	877
12172004	862
121m	870
122	832|833|835|850|855|861
1225	851
1226	851
123	832|833|835|840|844|850|851|861
123083947	850
123131934	833
1231545828150	833
1232400722	840
1236	835
124	832|833|835|850|854|855|861|870
124427	850
1249	842
125	832|833|835|850|851|854|861
1250	855
1258	839|855
125E199E22E82C28	833
125ECF848009A0D8	833
126	832|833|834|835|850|855|861|870
1264	833
127	832|833|835|842|850|861
128	832|833|835|850|861|872
1280	872
1282	869
1282-AAE73455-851F-436A-9709-1746E89C1C26	869
12828	834
129	832|833|835|850|851|861
1290	855
1291	851
12B	877|878
12U	850
12V	872
12_december	876
12th	835
13	829|830|831|832|833|834|835|836|837|838|839|840|842|844|846|847|849|850|851|853|854|855|857|859|861|862|865|866|868|869|870|871|872|874|875|876|877|878
13-09-2009	872
13-15	863
13-attorney	832
130	832|833|835|850|851|854|861|865|866|870|874
1300	855
131	832|833|835|840|850|861
1311	829|830|831
132	830|832|833|835|850|861
1323	829|831
132522136	832
1327	855
133	832|833|835|850|861
134	832|833|838|850|854|861
134199040	870
1343277311952	839
1344	850
1347	851
1349	851
135	832|833|838|850|861|872
1355	842
1356	851
136	831|832|833|835|838|850|851|861
1362	842
1365-2486	829
137	832|833|838|850|861
138	832|833|835|840|850|861
1382	855
139	832|833|850|851|861
1393	872
13988	847
13th	832|833|834|840|847|851|866
14	829|830|831|832|833|834|835|836|838|839|840|842|844|846|847|848|849|850|851|853|855|857|859|861|862|864|865|866|869|870|872|874|875|876|877|878
140	832|833|838|839|850|851|861|865|875
1400	851
1400s	834
1401	840
1402	840
1405	855
1407	840
141	832|833|835|850|854|861|862|875
1411	855
1412	851
1415	834
142	832|833|850|861
1420	834
142748	876
143	832|833|834|840|850|861|875
1431	851
1432	834
1438	842
1439	851
144	832|833|842|850|861|862|866|875
1440	842
1446	851
1449	851|878
145	832|833|835|850|861|870
1450	840
145147	834
1455	834
1458	834
1459	851
146	832|833|835|840|850|858|859|861|870|872
1460	851
1462	834
1466	851
1467-8748	830
146842	850
1469	840
1469-185X	829
146996-the-life-and-times-of-barbara-gordon	835
147	829|832|833|837|850|861
147-149	845
1470	834
1471	834
1474	834
1478	834
148	832|833|834|850|857|861|866
1482	834
1485	834
1485-possibly	851
1487	834|862
1488	834|851
1489	834
148th	834
149	832|833|840|850|851|854|861|870
1493	851
14934-2276469	875
1494	878
1494981	862
1495	851
1498	834
1499	851
14_03_2007	870
14mumterror-mj-akbar-slams-bbc-for-biased-coverage-of-mumbai-terror-attack	874
14th	835|839|840|851|855
15	829|830|831|832|833|834|835|836|837|838|839|840|842|844|846|847|850|851|853|854|855|857|859|861|862|865|866|869|870|871|872|874|875|876|877|878
15-29	877
15-minute	877
15-part	861
15-string	859
150	832|833|837|838|840|847|850|853|861|862|870|871|874|877
150-word	853
1500	834|851|853
15000	839
1500s	834
1501	834|851
1502	834
1503	834|851
1503-5	837
1505	834
1506	834
1507	834
1508	834
1509	851
150m	833
151	832|833|835|838|850|851|861|870|872|877
1510	834
1511	834
1512	834
1513	834
1514	851
1515	834
1516	834
1517	851
1518	834
1519	834
152	832|833|850|861|877
1521	834|851
152194	840
1522	834
1523	834|855
1524235	870
1525	834
1528	834
1529	834|842|851
1529890	875
153	832|833|850|851|861|877
1530	851
1530-3667	842
15306333	842
1531	834|851
1534	834
1535	834
1536	834|851
153629	841
153645	876
153651	876
1537	834|851
154	832|833|839|840|850|851|859|861
1540	834
1541	834|851
1543	851
1544	851
1545	834
1546	842|855
15461864	850
1547	834
1548	834
1549	833|834
15494493	877
155	830|832|833|850|861|875
1550	834|855
1551	834
1556	851
1557	834
1558	834|860
1559	834|851
156	829|831|832|833|850|861
1561	860
1562	837
1563	840
1564	851
1568	834
157	832|833|850|861
1571	834|851
1572	834
1573	834
1575	834
1576	834
1577	834
1578	834
1579	834
158	832|833|850|861
1583	834
1587	851
1588	834
1589	834
159	832|833|850|851|861|875
1593	834
159537	862
1596	851
1598	834
15U	850
15th	834|851
16	829|830|831|832|833|834|835|836|838|839|840|842|843|844|845|846|847|849|850|851|853|855|856|857|859|861|862|863|864|865|866|867|869|870|872|874|875|876|877|878
160	832|833|840|842|850|862|872
1600	834|844|851|857
1601	834
1602	834
1602960	850
1603107	833
1605	834
1607	834
160872-american-pop-matters-ron-thompson-the-illustrated-man-unsung	841
1609	869
1609-672CFBF0-D883-4C35-84E0-191D811A681B	869
161	832|833|850|861|870
1610	834
161144225	833
1612	834
1615	834
1619	834
162	829|832|833|850|875
1620	834
1621	834
1622	834
1623	834
1624	834|855
1625	834|855
1627	834
1628	834
1628669	839
1629	834
163	832|833|840|850|877
1630	834
163028	840
1630s	834
1632	834
16329	839
1633	834
1636	834
1637	834
16373730	837
1639	834
164	832|833|850|877
1640	834|840
1640s	834
1641	834
1642	834|851
1643	834
1643259	876
1645	834|842
1648	834|851
165	832|833|850
1650	834|840
1651	834
1652	834
1653_35144087_1_573780100	840
1653_71890_3	840
1654	834|840|851
1655	834|851
1657	834
1658	834
1659	834
166	832|833|834|850|851|875
1660	834
1661	834|851
16610	833
1662	834|851
1663	834
16639	840
1664	834
1665	834
1666	834
1667	834|851|860
1668	855
1669	860
167	832|833|834|838|842|850|862
1670	834
1670759	832
1671	834
1674	834
168	832|833|834|850
168-9	845
1680	834
1680933	832
1681	834
1685	834
1686	834
1687	834
1688	834
1689	834
168th	865
169	832|833|842|850|861
1690	844
1691	834
1691733	842
1692	834
16927457	842
1698	834
16K	872
16k	872
16th	834|851|867
16th-most-visited	840
17	829|830|831|832|833|834|835|836|838|839|840|841|842|844|846|847|849|850|851|853|855|856|857|859|861|862|863|864|865|869|870|872|874|875|876|877|878
17-18	853
170	832|833|835|840|850|851|869
1700	851
1701	834
1702	834
1705	834|851
1707	851
1708	834
171	832|833|835|850|851
171178	832
1712	834
1713	834
1718	851
172	832|833|850
1728	834
1729	834
173	832|833|840|850|851|866
173-189	857
17313525	829
1733	834
1733-1867	866
1739	834
174	832|833|844|850
1740	834
17409320	849
1744	850
174445	840
1748	851
1749	834
175	829|831|832|833|835|840|850|851
175-6	845
1750	834|844|851|874
175056	840
1751	834
1751351	833
175167	840
1753	834
1755	850
1756	851
1757	834
1758	842
176	832|833|835|850|851
1760	851
1762	834
1763	834
1764	834
1767	834
1768	834
1769	834
176980876	850
177	832|833|840|850
1770	872
1772	834
1773	874
1775	834
1775-9	855
1776	834
1777	834
1778	834
1779	834
178	832|833|850|861
1780	834
1781	851
1782	834|851
1783	834|842|851
1784	834
1786	842
178724	874
1788	834
17881	872
1789	833|842
179	830|832|833|850|860
1791	830|834|850
1792	834|838|851
1793	833|838|851
1794	830|838|840
1795	834|838|851
1796	834|838|850
1796-1797	838
1796-1807	838
1797	833
1798	834
1799	834|840
179Barbados	834
17B	829|830|831
17Terror-t	833
17th	834|835
18	829|830|831|832|833|834|835|836|838|839|840|841|842|844|846|847|850|851|853|854|855|856|857|859|861|862|868|869|870|872|874|875|876|877|878
18-April-2011	851
18-hole	834
180	832|833|840|850|851|866|870|875
180-day	833
1800	834|851|857
1800-1805	838
1800s	834
1801	830|833
1802	830|834
1803	834
1804	838
1805	830|833
1806	834
1807	834|838
1808	834|838
18084	838
1809	833|834|838
180th	834
181	832|833|840|850|851|855
1810	830|834
1812	834
1812543	840
1813	833
1814	838
1815	834|838
1816	834|838
1817	833|834|842
1818	834|851
1819	834
182	832|833|839|855|869
1820	844
1821	833
1821227	871
1822	834
1824	834
1825	830|833|850
1826	834|851
18260518	842
18266565	842
1829	833|834|838
183	832|833|840|851|872
1830s	834|838|850
1831	834
1832	832
1833	833|834|851
1835	832|838
1836	834|838|851
1837	833|834|838|862
1838	834|850
1839	834|838|850
183Coordinates	840
184	832|833|850
1840	829|832|838
18405	872
1840s	829
1841	833|834|838|862
1841-1933	834
1841-1947	834
1842	834|837
1844	832|851
1845	833|850
1846	834|850
1847	830|850
1848	832|834
1849	833|834|838
184th	866
185	832|833|861
1850	833|834|838
1850-2000	851
1850s	838
1851	834|838|842
18514439	833
1852	829|832
1853	833|834|851
1854	830|834|838|840
1855	851
1856	830|831|832|834|838|850
1857	833|838|840
18576840	842
1858	832|834|837|838|851
1859	834|838
186	832|833|835|837|850|851|861|870
1860	832|834|838|869
1861	833
1862	834
1863	834|850
1864	832|833|834|838|842
1865	833|838
1865519	875
1866	834|838
1867	834|866
1867-1884	866
1868	832|834
186893	874
1869	833|838|850
187	832|833|835|850
1870	830|834|843
1871	834|838|850
1872	832
1873	833|834|838
1874	834|851
1875	838|850|851
1876	832|838|850
1877	833|834|850
1878	834|838|850
1879	834|838|851
188	832|833|860
1880	832|838
1880s	838
1881	833
1882	834|840
1883	834|838|842
1884	832|834|850|855
1884-1912	866
1885	833|834|838|840
1886	851
1887	834|838|850
1888	832|834|840|842|850
1889	833|834|838
189	832|833|861
1890	834|838|851
1890s	850
1891	830|834|838
1892	832|834|838
1892-O	838
1892-S	838
1893	833|834|837|838|850
1893-S	838
1894	838
1894-S	838
1895	834
1895-O	838
1896	832|833|840|850
1896-S	838
1897	833|834|842|851
1897-O	838
1898	834
1899	834|840|869
18U	850
18obama	833
18th	834|835|837|840|843|857|870
19	829|830|831|832|833|834|835|836|837|838|839|840|842|844|846|847|848|850|851|854|855|857|859|860|861|862|868|869|870|872|874|875|876|877|878
19-year	876
190	832|833|842|865
1900	832|834|838|840|850|851
1900s	837|850
1901	832|833|834|836|850
1901-S	838
1903	836|850|861|869
1903-S	838
1903NatAgree	850
1904	832|837|838|840|850|869
1904-07-01	869
1904-S	838
1905	833|838|850|851
1906	834|851
1906-S	838
1907	834|838|851|869
1907-S	838
1908	832|834|838|840|850|870
1909	833|838|850|857
1909-O	838
191	832|833|842|844|850|861
1910	834|838|842
1911	837|850|851|855
1912	832|840|842|850|851
1912-1959	866
1913	833|838|850
1914	834|838|855
1914141	872
1915	834|838|850|851
1916	832|838|840
1916-dated	838
1917	833|838
1918	834|859|864
1919	834|850|851|861|864
192	832|833|834|850|851|861
1920	832|834|836|837|840|850|861|864|875
192042215	850
1920s	850|860|874
1921	833|834|836|838|850|870
1922	834|850|859|870|874
1922-10-18	870
1923	833|834|870
1924	832|834|836|840|850
1925	832|833|866|870
1926	831|832|840|870
1927	831|832|836|851|870
1927-1938	870
1928	832|836|837|839|840|850|869
1929	833|834|836|838|840|875
193	829|832|833|840
1930	834|838|840|851|853|859|861|870|875
1930s	850|859|860|861|869|870|875|877
1931	834|838|850
1932	832|834|836|840|850|851|859|870|875
1933	833|836|838|850|851|853|855|875
1934	834|836|839|842|850|851|859|870|874|875
1935	836|838|851|859|866|870|875
1936	832|836|840|850|855|869|870|874|875
1937	833|834|836|842|850|853|875
1938	834|836|838|840|850|875
1938-1942	870
1939	840|848|850|861|864|866|870|875|878
194	829|832|833|840|861
1940	832|836|839|840|842|855|861|866|870
1940s	834|850|857|859|860|861
1941	833|834|839|846|847|861|866|870
1942	834|839|840|850|853|861|865|866
1942-04-24	839
1942-1943	870
1942-1944	870
1942-43	865
1943	836|838|839|840|847|850|861|862|863|865|866|870
1943-06-17	847
1944	832|836|840|849|853|866
1944-09-12	849
1944-1952	870
1945	833|834|838|846|850|851|853|855|861|866|870|877
1946	834|836|838|839|846|850|851|855|866|870|874|875
1946-09-01	846
1947	834|836|838|850|859|874
1948	832|834|838|840|850|851|866|874
1949	833|834|836|839|846|861|875
1949-12-22	846
195	832|833|840|850|875
1950	830|831|832|839|840|855|870|874
1950s	842|847|857|859|860|861|870|874|875
1951	832|836|839|842|846|850|859|862|866|869|870|874
1952	832|839|840|850|851|859|861
1952-1959	870
1953	833|834|836|846|850|851|853|859|874|875
1954	831|833|834|836|838|850|855|861|874
1955	833|834|836|838|846|850|861|870|874|875|877|878
1956	832|834|836|839|840|850|851|859|861|869
1957	833|834|838|839|840|846|859|869|874
1958	834|836|846|850|859|874
1959	832|836|839|848|850|859|869|874
1959-present	866
196	832|833|850|851|859
1960	832|834|836|839|840|842|849|850|851|859|861|869|870|874|875
1960-1969	870
1960s	832|833|835|839|844|846|847|848|849|851|855|857|859|860|861|870|874|878
1961	832|833|834|836|839|847|848|850|851|859|861|870
1961-08-04	832|833
1961-1990	851
1962	832|834|836|839|869|870|874|875
1963	832|833|834|836|838|839|840|844|859|875
1963-65	836
1964	832|834|836|838|839|840|844|845|846|847|850|855|861|866|870|874|875
1964's	861
1964-04-30	845
1965	832|833|834|836|839|842|844|846|849|859|861|869|874
