'	588|596|598|601|605|610|615|618|628|629|630
-trn-	628|630
-tu	628|630
-tun	628|630
-u	628|630
-uh	628|630
-un	628|630
-wide	598
-y	628|630|631
-ya	628|630
0	585|588|589|590|591|592|593|597|598|599|605|610|613|614|615|616|618|619|620|624|626|627|628|630
0-02-542820-9	616
0-02-863831-X	591
0-03-025397-7	597
0-06-013041-5	624
0-06-090653-7	608
0-12-335190-1	624
0-12-586990-8	597
0-13-822064-6	626
0-14-027201-1	615
0-19-214231-3	591
0-19-286205-7	591
0-19-510137-5	597
0-19-513097-9	591
0-19-824137-2	628|630
0-226-10389-7	591
0-230-60323-8	611
0-231-08376-9	603
0-273-65549-3	624
0-304-52257-0	597
0-306-44967-6	597
0-307-39844-7	589
0-313-24150-3	624
0-313-33158-8	600
0-335-22916-6	609
0-393-04579-X	602
0-393-06704-1	597
0-393-30857-X	612
0-415-24030-1	588
0-415-24031-X	588
0-465-01672-3	612
0-470-01617-5	597
0-471-98485-X	602
0-471-98665-8	598
0-486-46756-2	616
0-486-67830-X	626
0-517-54377-X	616
0-521-57890-6	597
0-521-63751-1	628|630
0-521-87069-0	603
0-631-19814-8	625
0-643-06659-4	597
0-671-70625-X	615
0-674-04075-9	597
0-674-48526-2	597
0-674-56951-2	612
0-677-04380-5	628|630
0-691-01206-7	590
0-691-02361-1	597
0-7007-1026-4	628|630
0-7167-5257-3	609
0-7385-3586-9	616
0-7432-0241-4	597
0-7432-5984-X	613
0-7535-0242-9	600
0-7546-0094-7	602
0-7546-4419-7	598
0-7923-0181-1	598
0-8014-1282-X	592
0-8091-3835-2	591
0-8133-7806-0	624
0-8154-1028-X	615
0-8176-4353-2	626
0-8263-2871-7	610
0-85177-289-7	602
0-85177-785-6	602
0-85242-471-X	602
0-85331-585-X	628|630
0-86091-385-6	588
0-87586-207-1	594
0-87840-386-8	628|630
0-88179-169-5	624
0-88410-602-0	608
0-901021-04-0	598
0-913232-88-2	612
0-935702-68-7	591
0-9544029-0-1	602
0-9544029-4-4	602
0-9622393-5-6	612
0-9749610-7-8	615
00	585|589|593|595|606|613|615|618|619|620
000	585|588|589|591|593|594|595|596|597|598|603|605|608|610|613|615|616|618|619|620|624|627|628|630|632|633
000-30	627
0000037	597
0000042063	597
000024605	589
00003	597
0001193125-12-076633	613
000119312512444068	619|620
0002-9157	612
0002-953X	612
000259995	625
00029157	612
00034-9	599
0004143	597
00057	597
0007	598
00097-1	597
000th	633
001	597|598
001203	597
00122	601
001311	597
001331	597
00141801-47-2-399	597
0016-9161	612
002	597
0020-7144	612
00207140208410106	612
00207140208410113	612
00207140208410114	612
0022-1597	612
0022-3514	595
0025-8431	612
00253	597
0030-1299	597
0030-6002	612
0034-7264	612
0044-0086	612
00442	618
00462	597
00526	597
0057	598
00572	618
00591	597
007	601
0073	598
00747	597
0075424206287585	625
00779962	597
0091-4266	612
00927	597
0097	625
01	589|591|597|598|603|607|610|613|615|619|620|627|629
010189	597
0106	598
01113	618
011513798	597
0123351901	624
01424	597
0143-2524	612
015	597
0170126900	588
0179-1613	597
01ipodnano	619|620
02	586|589|595|596|597|598|599|605|610|613|614|615|619|620|622|623
02010-12-1818	627
02010-12-2929	627
02011-01-1414	627
02011-01-1717	627
02011-01-2525	627
02011-01-2727	627
02011-01-2828	627
02011-01-3030	627
02011-02-1414	627
02011-02-1717	627
02011-02-1919	627
02011-02-2020	627
02011-02-2525	627
02011-02-2727	627
02011-03-1111	627
02011-03-1515	627
02011-04-1515	627
02011-05-1515	627
02012-09-044	627
02012-12-2323	627
0201770512	624
02119	618
022	590
02364	597
024	616
025	597
0269-8463	597
02706	597
03	588|589|590|594|596|598|599|601|614|615|617|619|620|624|627|629|631
030	597
0300-5062	612
0302	597
0307398447	589
03118	619|620
0313	597
03738a	591
0394-9001	612
03apple	619|620
04	586|588|589|593|594|596|597|598|605|613|615|616|619|620|631
04-1133	597
040	616
040828	619|620
041	619|620
0415	597
0418	619|620
0420	619|620
047	597
0485	598
05	598|605|615|619|620|622|623
050	598|616
0501020v1	590
0502264102	597
054	597
055	619|620
056	613
057	598
05Statement-by-Apples-Board-of-Directors	619|620
05antarctica	598
05ipad	619|620
05iphoneipodtouch	619|620
06	588|597|598|605|608|609|613|617|619|620|627|631
060227-woodstove	624
0604290103	597
064	619|620
07	588|596|597|598|608|613|615|616|619|620|624|626|627|632
07aol	613
07feb_cloroxlake	598
08	585|588|589|591|593|597|605|613|615|616|619|620
080	593
0802	619|620
080210100441	598
0806187105	597
0821339877	588
085	618
0860913856	588
0865717044	624
0885-842X	612
08867356	603
09	585|588|593|597|598|605|613|614|615|617|619|620|624
09-03-2008	590
090-2	601
0901270106	597
090812	598
091201	597
095	615
09SANAA2279	627
09ac_mar	608
09appletv	619|620
09cnd-iphone	619|620
09iphone	619|620
0CBsQ6AEwBw	589
0CC8Q6AEwAQ	588
0CCwQ6AEwAA	588
0CDAQ6AEwAQ	588
0CDcQ6AEwAg	588
0CDgQ6AEwAQ	588
0Ma	597
0p8tAAAAIBAJ	589
1	585|586|587|588|589|590|591|592|593|594|595|596|597|598|599|600|601|602|603|604|605|606|607|608|609|610|611|612|613|614|615|616|617|618|619|620|621|622|623|624|625|626|627|628|629|630|631|632|633
1's	594
1-100	615
1-268	610
1-27	628|630
1-3	591|613|619|620
1-55297-590-8	598
1-55297-777-3	599
1-56098-998-X	616
1-57958-348-2	628|630
1-588-26317-7	627
1-7	603
1-84371-138-9	588
1-85359-726-0	628|630
1-894959-14-0	616
1-894959-24-8	593
1-904041-96-5	600
1-904994-10-5	601
1-Click	596
1-nautical-mile	616
10	585|587|588|589|591|592|593|594|595|596|597|598|599|601|602|603|605|608|609|610|611|612|613|614|615|616|617|618|619|620|621|624|625|626|627|628|629|630|631|632|633
10-K	613|619|620
10-inch	616
10-meter	598
10-part	613
10-year	619|620
10-year-old	615
100	585|588|589|592|593|594|595|597|598|599|603|604|608|610|612|613|614|615|616|618|619|620|622|623|624|627|628|629|630|631|632|633
100's	595
1000	593|610|617
1000-1001	617
10000	599
1001	591|617
1001-1002	617
1001-1003	617
10010	615
100125fi_fiction_wilson	597
1002	617
1002-1003	617
1002-1004	617
100289	624
1003	617
100385	598
1004	617
1006	597|617|625
1006-1007	617
1007	597|599|617|624
1007-1008	617
101	588|595|597|598|613|618|619|620|625|627|628|630
101-102	617
1011	617
1016	597|598|599
10168684	619|620
1017	625
101M	597
102	588|597|598|599|603|609|613|618|619|620|627
1020823608217	621
1021	617
1023	597|621
1025-7	629
1029	598
103	588|597|598|599|609|613|618|619|620|627|628|630
10312787P	597
1037	595|612
1038	597|598
1038W	597
104	588|597|598|603|613|618|619|620|625|627
1040	597
10403109	612
10403997	612
10434	597
10442661	609
10458895	597
1046	597
105	588|597|598|613|618|619|620|627
10514913R	597
1059	628|630
106	588|597|598|612|613|618|619|620|627
1068	597
107	588|592|597|598|599|613|618|619|620|627
1071	597
1073	597|618
1075	597
108	588|597|598|612|613|616|618|619|620|627
108-yard	589
1080	597|612
1080p	619|620
10852	618
1086	597
1086CE	591
109	588|597|598|613|618|619|620|627
109-133	603
1092906	619|620
1093	599
1093-4510	612
1095	597
1096-3642	597
10977	597
10979	597
1098	597
1099	591
10a3xqyz	585
10kwizard	619|620
11	585|587|588|589|591|592|593|594|595|596|597|598|599|601|602|603|605|608|609|610|611|612|613|614|615|616|617|618|619|620|621|624|625|627|628|629|630
11'E	598
11's	615
11-12	603
11-14	616
11-20	603
11-96	618
110	588|595|597|598|613|618|619|620|627
1100	591|597|610
1101	591|601
110173	597
110178	597
1104776162	613
11051518	597
11078527	597
1108982108	618
111	588|597|598|599|608|618|619|620|625|627|628|630
111-h2245	615
111-s951	615
1110416	588
11106367	597
1110817	588
1110821	588
1110827	588
1111	597|618
1117	597
11198200	597
112	588|597|598|612|618|619|620|627
11203S29P	598
1121	597|625
1123	597
1124	597
1124891	597
1126	597|598
1126912	597
11269601	588
1129	597
113	588|597|598|618|619|620|627
1136776	598
1139	597
114	588|591|597|598|619|620|627
1140440	597
11441048	597
1144204-05-9612	596
1146	597
1147	599
1148	599
115	588|597|598|616|619|620|627
115-181	592
1150	598
1154198328978	615
1155	597
1159	625
1159337270259	619|620
116	588|597|599|617|619|620|627
116-27	592
11607589	597
11614567	612
11615917	612
11640137	612
1165	591
11687	618
117	588|597|610|619|620|624|627|628|630
117-131	617
11729090	597
1177	625
1178	592
1178CE	592
1179447	613
118	588|597|619|620|627
1180	591
1183	598
1184	597
11855437	612
1186	597|599
118669468	618
119	588|597|619|620|627
11bn	619|620
11th	591|592|603|628|630|632
11th-century	618
12	585|587|588|589|591|592|593|594|595|596|597|598|599|601|602|603|605|607|608|609|610|611|612|613|614|615|616|617|618|619|620|621|624|625|627|628|629|630
12-hour	619|620
12-to-18-year-old	610
120	588|595|597|615|619|620|627
1200	592
1201	615
1201-fm	615
1202	615
120591	589
120712743	597
121	588|597|598|599|619|620|627
12100_Sunrise_Press_Release	613
1215	597
12165310	597
122	588|597|619|620|624|627
122-3	603
1220	589
1223	591
123	588|597|619|620|627
1230	597
1230F	597
1231-1960	612
1234	597|619|620
12362948	612
12362955	612
12362956	612
1238617041	589
124	588|597|616|619|620|627|628|630
1240433273	619|620
1240961	629
1242	597
125	588|597|598|599|616|619|620|627
12506116	600
12529638	598
12568094	612
1257008017205735	619|620
12595	618
126	588|597|619|620|627
1261622	605
127	588|596|597|608|619|620|624|627
127255	588
1278	597
12787	597
1278C	597
12792	597
12798	618
128	588|597|598|613|618|619|620|627
12878720	597
12879352	597
128K	619|620
129	588|597|598|619|620|627
1290515	597
12itunes7	619|620
12th	591
12th-century	618
13	585|587|588|589|591|592|593|594|595|596|597|598|599|601|602|603|604|605|608|609|610|612|613|614|615|616|617|618|619|620|621|622|623|624|625|627|628|629|630|632|633
13's	616
13-14	600
13-inch	619|620
130	588|597|598|619|620|627
130647	613
13074471	597
1308	597
131	588|597|619|620|627
1312	597
132	588|597|618|619|620|627
133	588|597|619|620|621|627
13302494	612
13305809	612
134	588|597|618|619|620|627
134525	588
1345925228-407-875	615
134778	588
135	588|597|616|618|619|620|627
1350119493	585
135497	588
136	588|597|598|618|619|620|627
1365-2052	618
1365-2699	597
1365-2745	597
1365-3032	597
1365-3113	597
1365-4362	597
13678	597
13683	597
137	588|597|602|618|619|620|624|627
1371	597
138	588|597|618|619|620|627
139	588|597|619|620|627
1393045200	605
1394	619|620
1394ta	619|620
13ff	612
13th	587|588|591
14	585|587|588|589|591|592|593|594|595|596|597|598|599|601|602|603|605|608|610|612|613|614|615|616|617|618|619|620|621|624|625|627|628|629|630
14-day	588
14-song	589
140	588|596|597|598|619|620|627
14028	597
14029	597
140C	598
141	588|597|619|620|627
14150313	588
142	588|597|598|612|618|619|620|627
1422	591
14258	597
1427	612
1428574	618
143	588|594|597|619|620|627
14347842	612
144	588|597|619|620|627
1440-6055	597
145	588|592|597|619|620|627
145257	597
1453	592
146	588|597|598|619|620|626|627
1461-0248	597
14614570	597
14624241	597
1462884	597
1463-5224	618
1463-6409	597
1466	592
1469-7998	597
147	588|597|618|619|620|627
14704171	597
1471-2148	597
1471-2148-4-23	599
1471-2148-8-64	597
1474	591
1477-4186	598
1479	597
1479-8298	597
148	588|597|598|609|612|619|620|627
148396-3	588
1486-1488	603
148924-53	588
149	588|597|616|619|620|627
149-152	598
14913	597
1492	597
1492380	598
1493	610
14advisory	619|620
14th	591|603|624|628|630
15	585|587|588|589|591|592|593|594|595|596|597|598|599|600|601|602|603|605|608|609|610|612|613|614|615|616|617|618|619|620|621|624|625|627|628|629|630
15-17	616
15-city	589
15-minute	615
150	588|589|594|597|598|599|603|618|619|620|627
1500	591|599|628|630
1500-year	592
15025575	618
1503	602
1504	591
1505	591
1506	591
1507	602
151	588|597|609|616|619|620|627
15137479	619|620
1514	602
15154922	619|620
1519	598
152	588|592|597|619|620|627
1520	602
15231994	588
1529	598
153	588|597|618|619|620|627
1530	602
1532	598
15325110	588
15326702	588
1533	602
1535	602
1536	619|620
15382983	595
1539	602
15399	588
153F	597
154	588|597|619|620|627
154085	606
1540s	602
1544	602
1545	602
1546	602
1549	602
155	588|595|597|619|620|627|628|630
1553	602
15537154	597
1558-5646	597
1559998	613
156	588|592|595|596|597|608|618|619|620|627
1562032	613
1568925	597
156922-3	588
157	588|597|619|620|627
15703745	597
157689-3	588
158	588|592|597|598|619|620|627
1583675	618
15846335	597
15899976	597
159	588|597|619|620|627|632
1590	597
159170	588
15988525	597
15N	597
15appletv	619|620
15th	588|591|602|628|630
16	585|588|589|591|592|593|594|595|596|597|598|599|601|602|603|605|608|612|613|614|615|616|617|618|619|620|621|624|625|627|628|629|630|632|633
160	588|592|597|598|603|609|616|619|620|627
1604	618
1605	611
1607	597
16083810	597
161	588|597|618|619|620|627
1611-2001	610
1613	597
1615	591
161f	625
162	588|597|619|620|627
1623	610
16231588	619|620
1626204	597
1627	591
163	588|592|597|618|619|620|625|627
1632	610
1633	591
1633701100	597
1635	591
1636	624
164	588|597|619|620|624|627
16407943	597
1649	602
165	588|591|597|598|618|619|620|627|628|630
1650	599
1651	602
1652	591
166	588|597|619|620|627
16601190	597
1666	610
1667	597
1668	597
167	588|597|619|620|624|627
1670s	610
1674	618
1677	602
168	588|597|619|620|627
1680	602
16809544	597
1684	610
1685857	597
1689	602
16890508	597
169	588|597|609|615|619|620|627
1690	602
16916970	597
16924120	597
16macbook	619|620
16th	592|602|618|625|628|630
16th-century	602
17	588|589|590|591|592|593|594|595|596|597|598|599|600|601|602|603|605|608|610|612|613|614|615|616|617|618|619|620|621|624|625|626|627|628|629|630|632
17-18	617
170	588|597|598|605|610|615|618|619|620|627
1700	591|592|618
1701	592|612
1703	602
1704	612
1708	591
170929	597
171	597|608|619|620|627
1714	611
17148163	597
17148245	597
1719418	585
172	597|598|619|620|627
1724	602
1725	591
1728	592
17292	593
17297148	597
173	608|619|620|627
1730	618
17301016	597
1734	612
1734-05-23	612
1734-1815	612
17363663	598
17382956	597
174	597|608|619|620|625|627
1740-1798	603
1742-9994-6-5	597
17427	618
1747	612
1748	591
175	608|619|620|627
1750	591|618
1751	591|612
175659-37-64	588
1757	597
1758	591
1759	612
175962-3	588
176	609|619|620|627
17612	597
17629482	597
17635	597
1766	612
1768	597|612
177	597|608|619|620|627
1770	612
1773	598
1774	598|612
1775	612
1777	612
17770424	597
17779641	597
1779	612
178	619|620|627
1780	612
1780s	602
1783	603
17839565	597
1784	612
1785	612
1786	598
1787	612
1788	612
179	597|619|620|627
1790	612
1792	612
1799	598
17anna	588
17iPhone-4S-First-Weekend-Sales-Top-Four-Million	619|620
17iPhone-5-Pre-Orders-Top-Two-Million-in-First-24-Hours	619|620
17india	588
17th	585|589|598|617|618
18	585|588|589|591|592|593|594|595|597|598|599|602|603|605|608|609|612|613|614|615|616|617|618|619|620|624|625|627|628|629|630|632
18-year-old	612
180	592|597|619|620|627
1800	591|619|620
1800s	598|612|617|627
1801	591|612
1802	612
1803	612
18038201	597
1806	618
1809	597|612
181	588|619|620|627
1811	597
1812-1818	611
1813	611
1814	598|612
1815	612
1815-03-05	612
1819	592
182	619|620|627
1820	598
1821	598
1824	599|602
1825	612
183	588|603|619|620|627
1830	627
18302783	597
1832	602
1833	597
1834	610
1837-1838-1839-1840	598
1837-40	598
1838	598
1839	598
184	609|619|620|627
1840	598
1840022744	601
1841	598|612
1842-1846	598
1843	612
1844	628|630
1846090911	601
1847	610
1848	612|627
185	608|619|620|627
1852	610
1853	597|598
1855	618
1856	591
1857	602
1858	602
186	597|610|619|620|627
1860s	618
1861	597|618
18626	618
1863	618
18630	618
1864	597
1865	615
1866	592
1867	597
187	610|616|619|620|627
1870s	618
1877	588|598|618
1878	628|630
18794530	597
188	619|620|627
1880	597
1881	597
188149	619|620
1882	597
1883	602
1886	605|628|630
1888	597
1889	591
189	597|619|620|627
1890	597
1890s	598
18928332	597
1893	592|628|630
1894	604
1895	618
18th	598|605|617|618|628|630
18th-century	612|618
19	585|586|588|589|591|592|593|594|595|597|598|599|601|602|603|605|608|611|612|613|614|615|616|617|618|619|620|624|625|627|628|629|630|632
19-year-old	627
190	597|619|620|627
1900	591|603|605
1901	591
1902	612
1903	597|602|603
1904	598
1905	597|628|630
19050843	588
1907	598
1908	591|592|598
1908-14	592
1909	598
191	597|619|620|627
1910	598|603
1911	598
1912	598|617|624|628|630
1913	592|598
1914	598
19158794	598
1917	627
192	597|619|620|627
1920	597
1920H	597
1920s-1950s	631
1921	597|598
1923	598
1924	598
19243573	597
1925	597|603|624
19250516	597
1926	601
1927	601
1928	601
1929	597|598|601
192F	597
192W	597
193	593|597|619|620|627
1930	624
1930s	598|617|629
1931	598|601|610
1931-09-24	601
1932	588|601|603
1933	598|601|624
1934	610|626
1935	624
19367	593
19369264	597
1937	588|618
1937-06-15	588
1938	618
1939	598|602|617
194	597|616|619|620|627
1940	588|598
1940s	598|603|618
19416815	597
1943	598
1944	603|608|610
1945	589|591|603
1945-	603
1945-06-20	589
1946	597|618
1947	587|601|617|618
1947-99	601
1948	601|610|618
1948-55	601
1949	587|588|591|601|610
1949-11-10	587
195	599|612|615|619|620|627
1950	601|618
1950-1999	603
1950s	593|597|601|603|608|616|618
1950s-1970s	631
1951	597|618
1952	601|608|618|628|630
1953	597|601|618
1954	601
1955	601|612|624|626
1956	597|598|601|612|619|620|625|626
1956-63	601
1957	598|601|608
1958	585|601|618
1958-01-26	585
1959	598|601|628|630
1959-1964	601
195th	610
196	616|618|619|620|627
1960	601|610
1960-1980	603
1960s	589|593|594|601|603|608|615|624|625
1961	601|615|616
19619	597
1962	588|589|597|601|602|603|616|624|628|630
19627240	597
1963	588|597|601|602|616|617|626|627
1963-70	601
1964	586|597|601|608|616|617|625
1964-present	587
1965	588|589|597|601|610|612|616|624|628|630
1965W	597
1966	589|597|598|601|616|618|624
1967	589|593|597|601|603|612|616|619|620|621|624
1967Sci	597
1968	589|592|593|597|601|603|612|616|618|624|625|626|627
1968's	593
1968-April	615
1969	587|589|597|598|601|608|615|616
1969-07-16	615
1969Sci	597
197	597|615|619|620|627
197-317	590
1970	587|589|593|598|601|610|612|615|616|627
19700011707_1970011707	615
1970s	587|589|593|594|597|598|601|603|608|618|619|620|624|627|631
1970s-Present	631
1971	588|593|597|599|601|604|608|610|615|616|628|630
1971-78	615
1971-89	601
19710015566_1971015566	615
1972	588|589|593|597|598|599|601|603|608|615|616|624|628|630
1973	585|589|593|597|598|603|612|617|618|624|627
1974	589|593|601|608|610|612
1974's	589
1975	585|587|588|589|593|601|603|604|608|615|616|618|619|620|624|625|628|630
1976	587|588|589|593|600|602|608|610|612|616|617|619|620|621|624
1976-03-31	600
1976-04-01	619|620
1976-1998	619|620
1976apple1	619|620
1977	587|589|593|597|601|603|608|617|618|619|620|624|628|630
1978	585|587|589|593|597|598|599|609|618|619|620
1979	585|587|588|589|593|597|598|599|603|608|612|615|616|619|620
1979_012	593
198	597|603|619|620|627
1980	587|588|589|592|593|595|598|599|603|608|612|619|620|624|625|626
1980-09-26	595
1980s	585|586|589|593|594|595|601|603|608|613|627|631
1981	587|589|593|595|603|610|616|619|620|621|624
1982	585|587|589|593|595|599|601|602|603|608|610|612|618|619|620|621|625
1982-1984	585
1982-1989	587
1983	585|587|589|593|598|599|602|603|604|608|609|613|618|619|620|624
1984	587|589|597|598|603|608|612|619|620|621|624
1984's	589
1985	585|587|589|594|597|598|601|608|613|619|620|621|625|628|630
1985-1986	585
1985-1995	585
1985Sci	597
1986	585|587|588|589|593|597|598|603|608|610|613|619|620|621|624
1986-87	601
1986Sci	597
1987	585|587|601|603|613|619|620|621|624
1988	585|587|588|594|595|597|598|599|600|608|613|618|619|620|625
1989	585|587|588|589|594|597|598|601|603|613|615|617|618|619|620|621|625|627|629
1989-1991	587
1989NW	597
199	597|619|620|626|627
1990	585|587|588|593|594|597|599|601|608|609|612|613|615|619|620|621|624
1990's	613
1990s	593|594|597|601|603|608|613|619|620|624|627|628|629|630|631
1991	585|587|588|594|597|598|603|612|613|618|619|620|621|628|629|630|631
1991's	589
1991-present	587
1992	587|588|589|591|592|594|597|598|599|601|602|603|608|610|612|624
1992-93	586
1993	585|586|587|588|589|591|594|600|603|609|612|613|617|619|620|628|630
1994	585|587|588|591|593|594|597|599|601|603|609|610|612|613|615|619|620|624|629
1995	585|587|592|593|594|597|599|601|603|608|612|613|614|617|618|619|620|625|628|630
1995PNAS	597
1996	585|586|587|588|589|593|594|595|596|597|598|599|600|601|603|608|610|612|613|614|615|617|619|620|625
1996-09-06	585
1996-2001	585
199600496	597
1997	586|587|588|589|591|594|595|597|598|599|600|601|602|603|613|617|618|619|620|621|624|625|628|630
1997-04-15	614
19970415054031	614
19970521	588
19970709	588
1998	587|588|589|591|593|594|595|597|598|600|603|608|609|610|613|615|616|617|618|619|620|621|629
19980910	588
19981212	588
1998_09_21_080_TNY_LIBRY_000016384	617
1999	585|587|588|589|590|591|592|593|594|595|596|597|599|600|601|602|603|604|608|609|611|613|615|619|620|624|625|627|628|629|630
1999's	589|600
1999-04-14	601
19990428	588
1999Natur	597
19Apple-Reinvents-Textbooks-with-iBooks-2-for-iPad	619|620
19hazare	588
19online	605
19th	591|592|598|601|602|603|605|611|617|618|628|630
19th-century	603
1B	616
1G1-4164401	598
1bn	619|620
1eisen	615
1st	594|598|600|615|618|619|620|627|628|630
1st-page	621
2	585|586|587|588|589|590|591|592|593|594|595|596|597|598|599|600|601|602|603|604|605|606|607|608|609|610|611|612|613|614|615|616|617|618|619|620|621|622|623|624|625|626|627|628|629|630|631|632|633
2'E	598
2-1376418	593
2-1992	612
2-503-51050-7	591
2-Clause-like	614
2-clause	614
20	585|586|587|588|589|591|592|593|594|595|596|597|598|599|602|603|605|608|609|610|612|613|614|615|616|617|618|619|620|624|625|626|627|628|629|630|631|632|633
20-	605
20-21	617
200	585|588|589|596|597|598|599|604|608|610|615|616|618|619|620|627|632|633
200-245	592
2000	585|587|591|592|593|594|597|598|599|601|602|603|608|610|612|613|617|618|619|620|624|628|629|630
2000's	589
20000	612
2000ASAJ	597
2000NW	597
2000PNAS	597
2000s	588|593|594|601|603|608|613|619|620
2001	585|586|587|588|591|593|594|595|597|598|599|600|601|602|603|609|610|612|613|615|616|618|619|620|621|624|627|628|630|632
2001-05-18	585
20010724014721	619|620
2002	585|587|588|589|591|592|594|597|598|599|600|601|603|608|612|613|619|620|621|624|625|628|630|631
2002-03	598
2002-10-17	613
2003	587|588|589|591|593|594|596|597|598|599|600|601|602|603|608|609|610|613|618|619|620|624|625|628|629|630|631|632
2003's	600
2003-07-09	632
20033753	613
2003PNAS	597
2004	585|587|588|589|591|593|594|595|596|597|598|599|600|601|603|605|608|609|610|613|615|616|618|619|620|621|625|627|629|633
2004's	600
2004-01-28-maney_x	619|620
2004-06-29	588
2004-present	585
2004GL020697	598
2004GL021284	598
2004GeoRL	598
2005	585|586|587|588|589|591|593|594|595|596|597|598|599|600|601|602|603|605|608|609|610|613|615|616|618|619|620|621|622|623|624|627|629|631|632|633
2005's	600
2005-03-11	588
2005-06-03	631
2005-12-19	591
20050214014631	598
20050214015049	598
20050314132032	619|620
20050510093511	598
20050711164513cpataruK0	629
2005Natur	597
2005PNAS	597
2006	586|587|588|589|590|591|592|593|594|595|596|597|598|599|600|601|603|604|605|606|608|609|610|613|615|617|619|620|624|625|626|628|629|630|633
2006-08-19	588
2006-09-15	610
2006-09-18	624
2006-2008	628|630
20060207175624	598
20060210005949	598
20060211123941	598
20061004	613
2006JF000597	598
2006Natur	597
2006PNAS	597
2006Sci	597
2007	585|586|587|588|589|590|593|594|597|598|599|600|601|603|605|606|608|609|610|613|615|616|618|619|620|624|626|627|628|629|630|632
2007-01-30	585
2007-03-04	624
2007-03-20	617
2007-03-31	617
2007-05-21	631
2007-06-16	597
2007-08-23	610
2007-12-07	591
20070326115844	619|620
20070518144944	598
20070616090223	597
20071011225212	598
2007DrugsMedsGuidelines	618
2007JGRF	598
2007f	597
2008	585|587|588|589|590|591|593|594|595|597|598|599|600|603|604|605|606|608|610|611|613|614|615|616|617|618|619|620|621|624|626|627|628|629|630|631|632|633
2008-01-29	616
2008-02-27	597
2008-03-19	589
2008-06-25	597|614
2008-07-08	624
2008-07-16	591
2008-07-25	605
2008-07-29	605
2008-07-31	605
2008-09-21	624
2008-09-24	624
2008-10-02	624
2008-10-07	599
2008-10-21	624
2008-10-23	617
20080110012153	619|620
